User ID,Group,Outcome
175,Control,0
176,Control,0
177,Control,0
178,Control,0
179,Control,1
180,Control,0
181,Control,0
182,Control,0
183,Control,1
184,Control,0
185,Control,0
186,Control,0
187,Control,0
188,Control,0
189,Control,0
190,Control,0
191,Control,0
192,Control,0
193,Control,1
194,Control,0
195,Control,0
196,Control,0
197,Control,0
198,Control,0
199,Control,0
200,Control,0
201,Control,0
202,Control,0
203,Control,0
204,Control,0
205,Control,0
206,Control,0
207,Control,0
208,Control,0
209,Control,0
210,Control,0
211,Control,0
212,Control,0
213,Control,0
214,Control,0
215,Control,0
216,Control,0
217,Control,0
218,Control,0
219,Control,0
220,Control,0
221,Control,0
222,Control,0
223,Control,0
224,Control,0
225,Control,0
226,Control,0
227,Control,1
228,Control,0
229,Control,0
230,Control,0
231,Control,0
232,Control,0
233,Control,0
234,Control,0
235,Control,0
236,Control,0
237,Control,0
238,Control,0
239,Control,0
240,Control,0
241,Control,1
242,Control,1
243,Control,1
244,Control,0
245,Control,0
246,Control,1
247,Control,0
248,Control,1
249,Control,1
250,Control,0
251,Control,0
252,Control,0
253,Control,0
254,Control,0
255,Control,0
256,Control,0
257,Control,1
258,Control,0
259,Control,0
260,Control,0
261,Control,0
262,Control,1
263,Control,0
264,Control,0
265,Control,0
266,Control,0
267,Control,0
268,Control,0
269,Control,0
270,Control,0
271,Control,0
272,Control,0
273,Control,0
274,Control,1
275,Control,0
276,Control,0
277,Control,0
278,Control,0
279,Control,0
280,Control,0
281,Control,0
282,Control,0
283,Control,0
284,Control,0
285,Control,0
286,Control,0
287,Control,0
288,Control,0
289,Control,0
290,Control,0
291,Control,0
292,Control,0
293,Control,0
294,Control,0
295,Control,0
296,Control,0
297,Control,0
298,Control,0
299,Control,0
300,Control,0
301,Control,0
302,Control,0
303,Control,0
304,Control,0
305,Control,0
306,Control,1
307,Control,0
308,Control,0
309,Control,0
310,Control,0
311,Control,0
312,Control,0
313,Control,0
314,Control,1
315,Control,0
316,Control,0
317,Control,0
318,Control,0
319,Control,0
320,Control,0
321,Control,0
322,Control,0
323,Control,0
324,Control,0
325,Control,1
326,Control,0
327,Control,0
328,Control,0
329,Control,0
330,Control,0
331,Control,0
332,Control,0
333,Control,0
334,Control,0
335,Control,0
336,Control,0
337,Control,0
338,Control,0
339,Control,0
340,Control,0
341,Control,0
342,Control,0
343,Control,0
344,Control,0
345,Control,0
346,Control,0
347,Control,0
348,Control,0
349,Control,0
350,Control,0
351,Control,0
352,Control,0
353,Control,0
354,Control,0
355,Control,0
356,Control,0
357,Control,0
358,Control,0
359,Control,1
360,Control,0
361,Control,0
362,Control,0
363,Control,0
364,Control,0
365,Control,1
366,Control,0
367,Control,1
368,Control,1
369,Control,0
370,Control,0
371,Control,0
372,Control,0
373,Control,0
374,Control,0
375,Control,0
376,Control,0
377,Control,0
378,Control,0
379,Control,0
380,Control,0
381,Control,0
382,Control,0
383,Control,0
384,Control,0
385,Control,0
386,Control,0
387,Control,0
388,Control,0
389,Control,0
390,Control,0
391,Control,1
392,Control,0
393,Control,0
394,Control,0
395,Control,0
396,Control,1
397,Control,0
398,Control,0
399,Control,0
400,Control,0
401,Control,0
402,Control,1
403,Control,0
404,Control,0
405,Control,0
406,Control,0
407,Control,0
408,Control,0
409,Control,1
410,Control,0
411,Control,0
412,Control,1
413,Control,1
414,Control,0
415,Control,0
416,Control,0
417,Control,0
418,Control,0
419,Control,0
420,Control,0
421,Control,0
422,Control,0
423,Control,0
424,Control,0
425,Control,0
426,Control,0
427,Control,0
428,Control,0
429,Control,0
430,Control,0
431,Control,0
432,Control,0
433,Control,0
434,Control,0
435,Control,0
436,Control,0
437,Control,0
438,Control,0
439,Control,0
440,Control,0
441,Control,0
442,Control,1
443,Control,0
444,Control,0
445,Control,0
446,Control,1
447,Control,1
448,Control,0
449,Control,0
450,Control,0
451,Control,0
452,Control,0
453,Control,0
454,Control,1
455,Control,0
456,Control,0
457,Control,0
458,Control,0
459,Control,0
460,Control,0
461,Control,0
462,Control,0
463,Control,0
464,Control,0
465,Control,1
466,Control,0
467,Control,0
468,Control,0
469,Control,0
470,Control,1
471,Control,0
472,Control,1
473,Control,0
474,Control,0
475,Control,0
476,Control,1
477,Control,0
478,Control,0
479,Control,1
480,Control,0
481,Control,0
482,Control,0
483,Control,0
484,Control,0
485,Control,0
486,Control,1
487,Control,0
488,Control,0
489,Control,1
490,Control,0
491,Control,0
492,Control,0
493,Control,0
494,Control,0
495,Control,0
496,Control,0
497,Control,0
498,Control,0
499,Control,1
500,Control,1
501,Control,0
502,Control,0
503,Control,0
504,Control,0
505,Control,0
506,Control,0
507,Control,1
508,Control,0
509,Control,1
510,Control,0
511,Control,0
512,Control,0
513,Control,1
514,Control,0
515,Control,0
516,Control,0
517,Control,0
518,Control,0
519,Control,1
520,Control,0
521,Control,0
522,Control,0
523,Control,1
524,Control,0
525,Control,0
526,Control,0
527,Control,0
528,Control,0
529,Control,0
530,Control,0
531,Control,0
532,Control,1
533,Control,1
534,Control,0
535,Control,0
536,Control,1
537,Control,0
538,Control,0
539,Control,0
540,Control,0
541,Control,1
542,Control,0
543,Control,0
544,Control,0
545,Control,0
546,Control,0
547,Control,0
548,Control,0
549,Control,0
550,Control,0
551,Control,0
552,Control,0
553,Control,0
554,Control,0
555,Control,0
556,Control,0
557,Control,0
558,Control,0
559,Control,0
560,Control,0
561,Control,0
562,Control,0
563,Control,0
564,Control,0
565,Control,0
566,Control,0
567,Control,0
568,Control,0
569,Control,1
570,Control,0
571,Control,0
572,Control,0
573,Control,0
574,Control,0
575,Control,0
576,Control,1
577,Control,0
578,Control,1
579,Control,0
580,Control,0
581,Control,0
582,Control,1
583,Control,0
584,Control,0
585,Control,0
586,Control,0
587,Control,0
588,Control,0
589,Control,0
590,Control,0
591,Control,0
592,Control,0
593,Control,0
594,Control,0
595,Control,0
596,Control,0
597,Control,0
598,Control,0
599,Control,0
600,Control,0
601,Control,0
602,Control,0
603,Control,0
604,Control,0
605,Control,0
606,Control,0
607,Control,0
608,Control,0
609,Control,0
610,Control,0
611,Control,0
612,Control,0
613,Control,0
614,Control,0
615,Control,0
616,Control,1
617,Control,0
618,Control,0
619,Control,0
620,Control,0
621,Control,0
622,Control,0
623,Control,0
624,Control,0
625,Control,0
626,Control,0
627,Control,0
628,Control,0
629,Control,0
630,Control,0
631,Control,0
632,Control,0
633,Control,0
634,Control,0
635,Control,0
636,Control,0
637,Control,0
638,Control,0
639,Control,0
640,Control,0
641,Control,0
642,Control,0
643,Control,0
644,Control,0
645,Control,0
646,Control,0
647,Control,0
648,Control,0
649,Control,0
650,Control,0
651,Control,0
652,Control,0
653,Control,0
654,Control,0
655,Control,0
656,Control,0
657,Control,0
658,Control,0
659,Control,0
660,Control,0
661,Control,0
662,Control,1
663,Control,0
664,Control,0
665,Control,0
666,Control,0
667,Control,0
668,Control,0
669,Control,0
670,Control,0
671,Control,0
672,Control,0
673,Control,0
674,Control,0
675,Control,0
676,Control,1
677,Control,0
678,Control,0
679,Control,1
680,Control,0
681,Control,0
682,Control,0
683,Control,0
684,Control,0
685,Control,1
686,Control,0
687,Control,0
688,Control,0
689,Control,0
690,Control,0
691,Control,0
692,Control,0
693,Control,0
694,Control,0
695,Control,0
696,Control,0
697,Control,0
698,Control,0
699,Control,0
700,Control,0
701,Control,0
702,Control,0
703,Control,0
704,Control,0
705,Control,0
706,Control,1
707,Control,0
708,Control,0
709,Control,0
710,Control,0
711,Control,0
712,Control,0
713,Control,0
714,Control,0
715,Control,0
716,Control,1
717,Control,0
718,Control,1
719,Control,0
720,Control,0
721,Control,1
722,Control,0
723,Control,0
724,Control,0
725,Control,0
726,Control,0
727,Control,0
728,Control,0
729,Control,0
730,Control,0
731,Control,0
732,Control,0
733,Control,0
734,Control,0
735,Control,0
736,Control,0
737,Control,0
738,Control,0
739,Control,0
740,Control,0
741,Control,0
742,Control,0
743,Control,0
744,Control,0
745,Control,0
746,Control,0
747,Control,0
748,Control,0
749,Control,1
750,Control,0
751,Control,0
752,Control,1
753,Control,0
754,Control,0
755,Control,0
756,Control,0
757,Control,0
758,Control,0
759,Control,0
760,Control,0
761,Control,0
762,Control,0
763,Control,0
764,Control,0
765,Control,0
766,Control,0
767,Control,0
768,Control,0
769,Control,0
770,Control,0
771,Control,0
772,Control,0
773,Control,0
774,Control,0
775,Control,0
776,Control,0
777,Control,0
778,Control,0
779,Control,0
780,Control,0
781,Control,0
782,Control,0
783,Control,0
784,Control,0
785,Control,0
786,Control,1
787,Control,0
788,Control,0
789,Control,0
790,Control,1
791,Control,0
792,Control,0
793,Control,0
794,Control,0
795,Control,0
796,Control,0
797,Control,1
798,Control,0
799,Control,0
800,Control,1
801,Control,0
802,Control,0
803,Control,0
804,Control,0
805,Control,0
806,Control,0
807,Control,1
808,Control,1
809,Control,0
810,Control,0
811,Control,1
812,Control,0
813,Control,0
814,Control,1
815,Control,0
816,Control,0
817,Control,0
818,Control,0
819,Control,0
820,Control,0
821,Control,0
822,Control,0
823,Control,0
824,Control,0
825,Control,0
826,Control,1
827,Control,0
828,Control,0
829,Control,0
830,Control,0
831,Control,0
832,Control,0
833,Control,0
834,Control,0
835,Control,0
836,Control,0
837,Control,1
838,Control,0
839,Control,0
840,Control,0
841,Control,0
842,Control,0
843,Control,0
844,Control,1
845,Control,0
846,Control,0
847,Control,0
848,Control,1
849,Control,0
850,Control,0
851,Control,0
852,Control,0
853,Control,0
854,Control,0
855,Control,0
856,Control,0
857,Control,0
858,Control,0
859,Control,0
860,Control,0
861,Control,0
862,Control,0
863,Control,0
864,Control,0
865,Control,0
866,Control,0
867,Control,0
868,Control,0
869,Control,0
870,Control,1
871,Control,0
872,Control,0
873,Control,0
874,Control,0
875,Control,0
876,Control,0
877,Control,0
878,Control,0
879,Control,0
880,Control,0
881,Control,0
882,Control,0
883,Control,0
884,Control,0
885,Control,0
886,Control,0
887,Control,0
888,Control,0
889,Control,0
890,Control,0
891,Control,0
892,Control,0
893,Control,0
894,Control,0
895,Control,0
896,Control,0
897,Control,0
898,Control,0
899,Control,0
900,Control,0
901,Control,0
902,Control,0
903,Control,0
904,Control,0
905,Control,0
906,Control,0
907,Control,0
908,Control,0
909,Control,0
910,Control,0
911,Control,0
912,Control,0
913,Control,0
914,Control,0
915,Control,0
916,Control,0
917,Control,0
918,Control,1
919,Control,0
920,Control,0
921,Control,0
922,Control,0
923,Control,0
924,Control,0
925,Control,0
926,Control,0
927,Control,0
928,Control,0
929,Control,0
930,Control,0
931,Control,0
932,Control,0
933,Control,1
934,Control,0
935,Control,0
936,Control,0
937,Control,0
938,Control,1
939,Control,0
940,Control,0
941,Control,0
942,Control,0
943,Control,0
944,Control,0
945,Control,0
946,Control,0
947,Control,0
948,Control,1
949,Control,0
950,Control,0
951,Control,0
952,Control,0
953,Control,0
954,Control,1
955,Control,0
956,Control,0
957,Control,0
958,Control,0
959,Control,0
960,Control,0
961,Control,0
962,Control,0
963,Control,0
964,Control,0
965,Control,0
966,Control,0
967,Control,0
968,Control,0
969,Control,0
970,Control,0
971,Control,0
972,Control,1
973,Control,0
974,Control,0
975,Control,0
976,Control,0
977,Control,0
978,Control,0
979,Control,0
980,Control,0
981,Control,0
982,Control,0
983,Control,0
984,Control,0
985,Control,0
986,Control,0
987,Control,0
988,Control,0
989,Control,0
990,Control,0
991,Control,0
992,Control,0
993,Control,0
994,Control,0
995,Control,0
996,Control,0
997,Control,1
998,Control,0
999,Control,1
1000,Control,0
1001,Control,0
1002,Control,0
1003,Control,0
1004,Control,0
1005,Control,0
1006,Control,0
1007,Control,0
1008,Control,0
1009,Control,0
1010,Control,0
1011,Control,0
1012,Control,1
1013,Control,1
1014,Control,0
1015,Control,0
1016,Control,1
1017,Control,0
1018,Control,0
1019,Control,1
1020,Control,0
1021,Control,0
1022,Control,0
1023,Control,1
1024,Control,1
1025,Control,1
1026,Control,0
1027,Control,0
1028,Control,0
1029,Control,0
1030,Control,0
1031,Control,0
1032,Control,0
1033,Control,0
1034,Control,0
1035,Control,0
1036,Control,0
1037,Control,0
1038,Control,0
1039,Control,0
1040,Control,0
1041,Control,0
1042,Control,0
1043,Control,0
1044,Control,0
1045,Control,0
1046,Control,0
1047,Control,0
1048,Control,0
1049,Control,0
1050,Control,0
1051,Control,0
1052,Control,0
1053,Control,1
1054,Control,0
1055,Control,1
1056,Control,0
1057,Control,0
1058,Control,0
1059,Control,0
1060,Control,0
1061,Control,0
1062,Control,1
1063,Control,0
1064,Control,0
1065,Control,0
1066,Control,0
1067,Control,0
1068,Control,0
1069,Control,0
1070,Control,0
1071,Control,0
1072,Control,0
1073,Control,0
1074,Control,0
1075,Control,1
1076,Control,0
1077,Control,0
1078,Control,0
1079,Control,0
1080,Control,1
1081,Control,0
1082,Control,0
1083,Control,0
1084,Control,0
1085,Control,1
1086,Control,0
1087,Control,0
1088,Control,0
1089,Control,1
1090,Control,0
1091,Control,1
1092,Control,0
1093,Control,0
1094,Control,0
1095,Control,0
1096,Control,0
1097,Control,0
1098,Control,0
1099,Control,0
1100,Control,0
1101,Control,0
1102,Control,1
1103,Control,0
1104,Control,1
1105,Control,1
1106,Control,0
1107,Control,0
1108,Control,0
1109,Control,0
1110,Control,0
1111,Control,0
1112,Control,0
1113,Control,0
1114,Control,0
1115,Control,0
1116,Control,0
1117,Control,0
1118,Control,0
1119,Control,0
1120,Control,0
1121,Control,0
1122,Control,1
1123,Control,0
1124,Control,0
1125,Control,0
1126,Control,0
1127,Control,0
1128,Control,0
1129,Control,0
1130,Control,0
1131,Control,0
1132,Control,0
1133,Control,0
1134,Control,0
1135,Control,0
1136,Control,0
1137,Control,0
1138,Control,0
1139,Control,0
1140,Control,0
1141,Control,0
1142,Control,0
1143,Control,0
1144,Control,0
1145,Control,0
1146,Control,0
1147,Control,0
1148,Control,0
1149,Control,0
1150,Control,0
1151,Control,0
1152,Control,0
1153,Control,0
1154,Control,0
1155,Control,0
1156,Control,0
1157,Control,0
1158,Control,0
1159,Control,0
1160,Control,0
1161,Control,0
1162,Control,0
1163,Control,0
1164,Control,0
1165,Control,0
1166,Control,0
1167,Control,0
1168,Control,0
1169,Control,0
1170,Control,0
1171,Control,0
1172,Control,1
1173,Control,0
1174,Control,0
1175,Control,0
1176,Control,0
1177,Control,0
1178,Control,0
1179,Control,0
1180,Control,0
1181,Control,1
1182,Control,0
1183,Control,0
1184,Control,1
1185,Control,0
1186,Control,1
1187,Control,0
1188,Control,0
1189,Control,0
1190,Control,0
1191,Control,0
1192,Control,0
1193,Control,0
1194,Control,0
1195,Control,0
1196,Control,0
1197,Control,1
1198,Control,1
1199,Control,0
1200,Control,0
1201,Control,0
1202,Control,0
1203,Control,0
1204,Control,0
1205,Control,0
1206,Control,0
1207,Control,0
1208,Control,0
1209,Control,0
1210,Control,1
1211,Control,0
1212,Control,0
1213,Control,0
1214,Control,0
1215,Control,0
1216,Control,0
1217,Control,0
1218,Control,0
1219,Control,0
1220,Control,0
1221,Control,1
1222,Control,0
1223,Control,0
1224,Control,1
1225,Control,0
1226,Control,0
1227,Control,0
1228,Control,0
1229,Control,1
1230,Control,0
1231,Control,0
1232,Control,0
1233,Control,0
1234,Control,0
1235,Control,0
1236,Control,0
1237,Control,0
1238,Control,0
1239,Control,1
1240,Control,0
1241,Control,0
1242,Control,0
1243,Control,0
1244,Control,0
1245,Control,0
1246,Control,0
1247,Control,0
1248,Control,0
1249,Control,1
1250,Control,0
1251,Control,0
1252,Control,0
1253,Control,0
1254,Control,0
1255,Control,0
1256,Control,0
1257,Control,0
1258,Control,0
1259,Control,0
1260,Control,0
1261,Control,0
1262,Control,0
1263,Control,0
1264,Control,0
1265,Control,0
1266,Control,0
1267,Control,0
1268,Control,0
1269,Control,0
1270,Control,0
1271,Control,0
1272,Control,0
1273,Control,0
1274,Control,0
1275,Control,0
1276,Control,0
1277,Control,0
1278,Control,1
1279,Control,0
1280,Control,0
1281,Control,0
1282,Control,0
1283,Control,0
1284,Control,0
1285,Control,0
1286,Control,0
1287,Control,0
1288,Control,0
1289,Control,0
1290,Control,0
1291,Control,0
1292,Control,0
1293,Control,0
1294,Control,0
1295,Control,0
1296,Control,0
1297,Control,0
1298,Control,0
1299,Control,0
1300,Control,0
1301,Control,0
1302,Control,1
1303,Control,0
1304,Control,0
1305,Control,0
1306,Control,0
1307,Control,0
1308,Control,0
1309,Control,0
1310,Control,0
1311,Control,0
1312,Control,0
1313,Control,0
1314,Control,0
1315,Control,0
1316,Control,0
1317,Control,0
1318,Control,0
1319,Control,0
1320,Control,0
1321,Control,0
1322,Control,0
1323,Control,0
1324,Control,0
1325,Control,1
1326,Control,0
1327,Control,0
1328,Control,0
1329,Control,0
1330,Control,0
1331,Control,0
1332,Control,0
1333,Control,0
1334,Control,1
1335,Control,1
1336,Control,0
1337,Control,0
1338,Control,0
1339,Control,0
1340,Control,0
1341,Control,0
1342,Control,0
1343,Control,0
1344,Control,0
1345,Control,0
1346,Control,0
1347,Control,0
1348,Control,0
1349,Control,1
1350,Control,0
1351,Control,0
1352,Control,0
1353,Control,0
1354,Control,0
1355,Control,0
1356,Control,0
1357,Control,1
1358,Control,0
1359,Control,0
1360,Control,0
1361,Control,1
1362,Control,0
1363,Control,0
1364,Control,0
1365,Control,0
1366,Control,0
1367,Control,0
1368,Control,1
1369,Control,0
1370,Control,0
1371,Control,1
1372,Control,0
1373,Control,0
1374,Control,0
1375,Control,0
1376,Control,0
1377,Control,0
1378,Control,0
1379,Control,0
1380,Control,0
1381,Control,0
1382,Control,0
1383,Control,1
1384,Control,0
1385,Control,0
1386,Control,0
1387,Control,0
1388,Control,0
1389,Control,1
1390,Control,0
1391,Control,0
1392,Control,0
1393,Control,0
1394,Control,0
1395,Control,0
1396,Control,0
1397,Control,0
1398,Control,0
1399,Control,0
1400,Control,0
1401,Control,0
1402,Control,0
1403,Control,0
1404,Control,0
1405,Control,0
1406,Control,0
1407,Control,0
1408,Control,0
1409,Control,0
1410,Control,0
1411,Control,0
1412,Control,0
1413,Control,0
1414,Control,0
1415,Control,0
1416,Control,1
1417,Control,0
1418,Control,0
1419,Control,0
1420,Control,1
1421,Control,0
1422,Control,0
1423,Control,0
1424,Control,0
1425,Control,1
1426,Control,1
1427,Control,0
1428,Control,1
1429,Control,0
1430,Control,0
1431,Control,0
1432,Control,0
1433,Control,0
1434,Control,0
1435,Control,0
1436,Control,0
1437,Control,0
1438,Control,0
1439,Control,0
1440,Control,0
1441,Control,1
1442,Control,0
1443,Control,0
1444,Control,0
1445,Control,0
1446,Control,0
1447,Control,0
1448,Control,0
1449,Control,1
1450,Control,0
1451,Control,0
1452,Control,0
1453,Control,0
1454,Control,0
1455,Control,0
1456,Control,1
1457,Control,0
1458,Control,0
1459,Control,0
1460,Control,0
1461,Control,0
1462,Control,0
1463,Control,0
1464,Control,0
1465,Control,1
1466,Control,0
1467,Control,1
1468,Control,0
1469,Control,0
1470,Control,0
1471,Control,0
1472,Control,0
1473,Control,0
1474,Control,0
1475,Control,0
1476,Control,0
1477,Control,0
1478,Control,0
1479,Control,0
1480,Control,0
1481,Control,0
1482,Control,0
1483,Control,0
1484,Control,0
1485,Control,0
1486,Control,0
1487,Control,0
1488,Control,0
1489,Control,0
1490,Control,0
1491,Control,0
1492,Control,0
1493,Control,0
1494,Control,0
1495,Control,0
1496,Control,0
1497,Control,0
1498,Control,0
1499,Control,0
1500,Control,0
1501,Control,0
1502,Control,0
1503,Control,0
1504,Control,0
1505,Control,0
1506,Control,0
1507,Control,0
1508,Control,0
1509,Control,0
1510,Control,0
1511,Control,0
1512,Control,0
1513,Control,1
1514,Control,0
1515,Control,0
1516,Control,0
1517,Control,0
1518,Control,0
1519,Control,0
1520,Control,1
1521,Control,0
1522,Control,1
1523,Control,0
1524,Control,0
1525,Control,0
1526,Control,0
1527,Control,0
1528,Control,0
1529,Control,0
1530,Control,0
1531,Control,0
1532,Control,0
1533,Control,0
1534,Control,0
1535,Control,0
1536,Control,0
1537,Control,0
1538,Control,0
1539,Control,0
1540,Control,0
1541,Control,0
1542,Control,0
1543,Control,0
1544,Control,0
1545,Control,1
1546,Control,0
1547,Control,0
1548,Control,0
1549,Control,0
1550,Control,0
1551,Control,1
1552,Control,0
1553,Control,0
1554,Control,0
1555,Control,0
1556,Control,0
1557,Control,0
1558,Control,0
1559,Control,0
1560,Control,1
1561,Control,0
1562,Control,0
1563,Control,0
1564,Control,0
1565,Control,0
1566,Control,0
1567,Control,0
1568,Control,0
1569,Control,0
1570,Control,0
1571,Control,0
1572,Control,0
1573,Control,0
1574,Control,0
1575,Control,0
1576,Control,0
1577,Control,0
1578,Control,0
1579,Control,0
1580,Control,0
1581,Control,0
1582,Control,0
1583,Control,0
1584,Control,0
1585,Control,1
1586,Control,0
1587,Control,0
1588,Control,0
1589,Control,0
1590,Control,0
1591,Control,0
1592,Control,1
1593,Control,0
1594,Control,0
1595,Control,0
1596,Control,0
1597,Control,0
1598,Control,0
1599,Control,0
1600,Control,0
1601,Control,0
1602,Control,0
1603,Control,0
1604,Control,0
1605,Control,0
1606,Control,0
1607,Control,0
1608,Control,0
1609,Control,0
1610,Control,0
1611,Control,0
1612,Control,0
1613,Control,0
1614,Control,0
1615,Control,0
1616,Control,0
1617,Control,1
1618,Control,0
1619,Control,0
1620,Control,0
1621,Control,0
1622,Control,0
1623,Control,0
1624,Control,1
1625,Control,0
1626,Control,0
1627,Control,0
1628,Control,0
1629,Control,0
1630,Control,0
1631,Control,0
1632,Control,0
1633,Control,0
1634,Control,0
1635,Control,1
1636,Control,0
1637,Control,0
1638,Control,0
1639,Control,1
1640,Control,1
1641,Control,0
1642,Control,0
1643,Control,0
1644,Control,0
1645,Control,0
1646,Control,0
1647,Control,0
1648,Control,0
1649,Control,0
1650,Control,0
1651,Control,0
1652,Control,0
1653,Control,0
1654,Control,0
1655,Control,0
1656,Control,1
1657,Control,0
1658,Control,0
1659,Control,0
1660,Control,0
1661,Control,0
1662,Control,0
1663,Control,1
1664,Control,0
1665,Control,1
1666,Control,0
1667,Control,0
1668,Control,1
1669,Control,0
1670,Control,0
1671,Control,0
1672,Control,0
1673,Control,0
1674,Control,0
1675,Control,0
1676,Control,0
1677,Control,0
1678,Control,0
1679,Control,0
1680,Control,0
1681,Control,0
1682,Control,1
1683,Control,0
1684,Control,0
1685,Control,0
1686,Control,0
1687,Control,1
1688,Control,0
1689,Control,0
1690,Control,0
1691,Control,0
1692,Control,0
1693,Control,0
1694,Control,0
1695,Control,0
1696,Control,0
1697,Control,0
1698,Control,0
1699,Control,1
1700,Control,0
1701,Control,1
1702,Control,0
1703,Control,0
1704,Control,0
1705,Control,0
1706,Control,0
1707,Control,0
1708,Control,0
1709,Control,0
1710,Control,0
1711,Control,0
1712,Control,0
1713,Control,0
1714,Control,0
1715,Control,0
1716,Control,1
1717,Control,0
1718,Control,0
1719,Control,1
1720,Control,0
1721,Control,0
1722,Control,0
1723,Control,0
1724,Control,0
1725,Control,0
1726,Control,0
1727,Control,0
1728,Control,1
1729,Control,0
1730,Control,0
1731,Control,0
1732,Control,0
1733,Control,0
1734,Control,0
1735,Control,0
1736,Control,0
1737,Control,0
1738,Control,0
1739,Control,0
1740,Control,0
1741,Control,0
1742,Control,0
1743,Control,0
1744,Control,0
1745,Control,0
1746,Control,0
1747,Control,0
1748,Control,0
1749,Control,0
1750,Control,0
1751,Control,0
1752,Control,0
1753,Control,0
1754,Control,0
1755,Control,1
1756,Control,0
1757,Control,1
1758,Control,0
1759,Control,0
1760,Control,0
1761,Control,0
1762,Control,0
1763,Control,0
1764,Control,0
1765,Control,0
1766,Control,0
1767,Control,0
1768,Control,0
1769,Control,0
1770,Control,0
1771,Control,0
1772,Control,0
1773,Control,0
1774,Control,1
1775,Control,0
1776,Control,0
1777,Control,0
1778,Control,0
1779,Control,0
1780,Control,0
1781,Control,0
1782,Control,1
1783,Control,0
1784,Control,0
1785,Control,0
1786,Control,0
1787,Control,0
1788,Control,0
1789,Control,0
1790,Control,0
1791,Control,0
1792,Control,0
1793,Control,0
1794,Control,0
1795,Control,0
1796,Control,0
1797,Control,0
1798,Control,0
1799,Control,0
1800,Control,0
1801,Control,1
1802,Control,0
1803,Control,0
1804,Control,0
1805,Control,0
1806,Control,0
1807,Control,0
1808,Control,0
1809,Control,0
1810,Control,0
1811,Control,0
1812,Control,0
1813,Control,0
1814,Control,0
1815,Control,0
1816,Control,1
1817,Control,0
1818,Control,0
1819,Control,0
1820,Control,0
1821,Control,0
1822,Control,0
1823,Control,0
1824,Control,0
1825,Control,0
1826,Control,0
1827,Control,0
1828,Control,1
1829,Control,0
1830,Control,0
1831,Control,1
1832,Control,0
1833,Control,0
1834,Control,0
1835,Control,0
1836,Control,0
1837,Control,0
1838,Control,0
1839,Control,1
1840,Control,0
1841,Control,0
1842,Control,0
1843,Control,0
1844,Control,0
1845,Control,1
1846,Control,0
1847,Control,0
1848,Control,0
1849,Control,0
1850,Control,0
1851,Control,0
1852,Control,0
1853,Control,0
1854,Control,0
1855,Control,1
1856,Control,0
1857,Control,0
1858,Control,0
1859,Control,0
1860,Control,0
1861,Control,0
1862,Control,0
1863,Control,0
1864,Control,0
1865,Control,1
1866,Control,1
1867,Control,0
1868,Control,0
1869,Control,0
1870,Control,0
1871,Control,0
